tax_id,genome_structure
12049,ssRNA(+)
1719047,ssRNA(+)
761701,ssDNA
12222,ssRNA(+)
1221449,dsDNA
1080798,ssRNA(+)
578361,ssRNA(+)
190503,ssRNA(+)
390439,ssDNA
1985164,dsRNA
945225,ssDNA
873160,ssDNA
1432565,ssDNA
290031,ssRNA(+)
1302849,ssDNA
1302850,ssDNA
269275,ssDNA
223323,ssDNA
222474,ssDNA
397544,ssRNA(+)
202568,ssDNA
2282646,Unknown
399314,ssRNA(+)
135656,ssRNA(-)
12187,ssRNA(+)
1564903,ssRNA(+)
47903,dsDNA
646010,ssRNA(+)
12472,ssRNA(+)
1458458,ssDNA
1458459,ssDNA
36772,ssDNA
2018312,ssRNA(+)
1965225,Unknown
1960252,dsDNA
1960253,dsDNA
1919062,ssDNA
12224,ssRNA(+)
53954,ssRNA(+)
78395,ssDNA
10836,ssDNA
1868659,ssDNA
1492296,ssDNA
94290,ssRNA(+)
129732,ssRNA(+)
1250303,ssDNA
715480,ssRNA(+)
1963260,ssRNA(+)
579113,ssDNA
647294,dsDNA
1307958,ssRNA(+)
263004,ssRNA(+)
930168,dsDNA
12844,ssRNA(+)
688540,ssDNA
2169736,ssDNA
31743,ssRNA(+)
693892,ssDNA
1198219,ssDNA
225752,ssDNA
1489312,ssDNA
1489311,ssDNA
2282485,ssDNA
574890,ssDNA
994388,ssDNA
1392388,ssDNA
2026196,ssDNA
2026195,ssDNA
999288,ssDNA
652717,ssDNA
940846,ssDNA
100755,ssDNA
41459,ssRNA(+)
1513529,ssDNA
2034762,dsDNA
603333,ssDNA
995049,dsDNA
453050,ssRNA(+)
930881,ssRNA(+)
46619,ssRNA(+)
1571533,ssDNA
1027869,ssRNA(+)
1899219,ssDNA
1914900,ssDNA
1414644,ssRNA(+)
945960,ssRNA(+)
1081702,ssRNA(+)
1634914,dsDNA
178354,dsDNA
2908018,ssRNA(-)
2169737,ssDNA
400394,ssRNA(+)
1628899,ssRNA(+)
1352511,ssRNA(+)
299200,ssRNA(+)
184020,ssRNA(+)
219596,ssDNA
180526,ssDNA
12227,ssRNA(+)
1213187,ssDNA
587314,ssDNA
439423,ssDNA
2010326,ssDNA
223332,ssDNA
223334,ssDNA
2010327,ssDNA
67762,ssDNA
218845,ssDNA
211866,ssDNA
223337,ssDNA
196691,ssDNA
12241,ssRNA(+)
12242,ssRNA(+)
12055,ssRNA(+)
12056,ssRNA(+)
33765,ssRNA(+)
107324,dsDNA
12228,ssRNA(+)
1692045,ssRNA(+)
1972995,ssRNA(+)
10830,ssDNA
2060142,ssDNA
2027645,ssDNA
234829,ssDNA
1010616,ssRNA(+)
1340746,ssDNA
858512,ssDNA
1761477,ssRNA(+)
12145,ssRNA(+)
240492,ssDNA
128941,ssDNA
1632184,ssDNA
1089387,ssDNA
1608257,ssDNA
2601256,ssDNA
439422,ssDNA
392761,ssDNA
220608,ssDNA
223344,ssDNA
1498504,ssDNA
1955054,ssDNA
743041,ssDNA
743042,ssDNA
693894,ssDNA
507474,ssDNA
278069,ssDNA
229636,ssDNA
997078,ssDNA
507475,ssDNA
439426,ssDNA
1384632,ssDNA
1384631,ssDNA
501328,ssDNA
400835,ssDNA
664980,ssDNA
1231334,ssDNA
971271,ssDNA
263578,ssDNA
263001,ssDNA
436243,ssDNA
1000690,ssDNA
309390,ssDNA
1397670,ssDNA
2560810,ssDNA
2560811,ssDNA
551531,ssDNA
548915,ssDNA
2010332,ssDNA
223345,ssDNA
1303385,ssDNA
996311,ssDNA
2303151,ssDNA
2049892,ssDNA
260379,ssDNA
507476,ssDNA
439425,ssDNA
439421,ssDNA
2031200,ssDNA
2050583,ssDNA
2049944,ssDNA
2560812,ssDNA
614034,ssDNA
713949,ssDNA
575917,ssDNA
96054,ssDNA
407837,ssDNA
2021667,ssDNA
938277,ssDNA
938276,ssDNA
425303,ssDNA
223352,ssDNA
270146,ssDNA
634441,ssDNA
196093,ssDNA
929051,ssDNA
439427,ssDNA
341035,ssDNA
208177,ssDNA
2048879,ssDNA
28350,ssDNA
1176156,ssDNA
2203894,ssDNA
681518,ssDNA
536085,ssDNA
223356,ssDNA
223357,ssDNA
12253,ssRNA(+)
172394,ssDNA
1391702,ssRNA(+)
1176153,ssRNA(+)
49267,ssDNA
2560813,ssDNA
92963,ssDNA
2571287,ssDNA
232380,ssDNA
185793,ssDNA
297249,ssDNA
395349,ssDNA
219744,ssDNA
260377,ssDNA
123735,ssDNA
1391746,ssDNA
2040662,ssDNA
1825931,ssDNA
447604,ssDNA
390442,ssDNA
1335768,ssDNA
1967841,ssRNA(-)
