tax_id,tile_ID
1862127.0,0.0
1868472.0,0.0
1868659.0,0.6666666666666666
1881013.0,1.0
1881630.0,1.0
1886606.0,0.6666666666666666
1890365.0,0.5
1899566.0,0.0
1904884.0,0.7142857142857143
1905830.0,1.0
1906317.0,0.16666666666666666
1913024.0,0.3333333333333333
1913125.0,1.0
1914900.0,1.0
1919062.0,0.0
1921009.0,0.5
1923137.0,0.5
1925153.0,0.5833333333333334
1940252.0,1.0
1955054.0,1.0
1955730.0,0.6666666666666666
1959287.0,0.5
1960252.0,0.5714285714285714
1960253.0,0.5454545454545454
1960255.0,1.0
1960887.0,0.8571428571428571
1963256.0,0.2
1963260.0,0.8333333333333334
1965225.0,0.0
1965306.0,1.0
1965355.0,0.0
1972716.0,0.75
1972994.0,0.0
1973265.0,0.6666666666666666
1977392.0,0.6666666666666666
1978413.0,0.0
1982660.0,0.8571428571428571
1985699.0,0.5
1987360.0,0.2222222222222222
1993907.0,0.5
2005044.0,0.0
2006498.0,1.0
2010319.0,1.0
2010326.0,0.7142857142857143
2010332.0,0.0
2011125.0,0.5
2013968.0,0.5
2016034.0,0.0
2016426.0,1.0
2018312.0,1.0
2018313.0,1.0
2019445.0,0.6
2020286.0,1.0
2020956.0,1.0
2021667.0,0.0
2024724.0,0.5
2030909.0,0.6666666666666666
2033633.0,0.6
2040662.0,1.0
2049944.0,0.8
2050583.0,1.0
2050584.0,0.6666666666666666
2050589.0,0.0
2052838.0,0.0
2054409.0,0.7692307692307693
2056878.0,1.0
2056879.0,0.3333333333333333
2056880.0,1.0
2056881.0,0.0
2056882.0,0.6666666666666666
2056883.0,0.0
2056885.0,1.0
2057979.0,0.0
2058396.0,0.5
2060142.0,0.16666666666666666
2060511.0,0.5
2070152.0,0.5
2074132.0,1.0
2093224.0,1.0
2093273.0,0.5
2093275.0,0.5
2093276.0,1.0
2093496.0,0.6666666666666666
2116736.0,0.3333333333333333
2136283.0,0.8333333333333334
2137858.0,1.0
2152660.0,0.0
2169693.0,1.0
2169727.0,0.5
2169728.0,0.0
2169732.0,0.0
2169736.0,0.0
2169739.0,0.0
2169740.0,1.0
2169908.0,0.0
2169987.0,0.0
2170100.0,1.0
2170101.0,1.0
2170132.0,0.6
2170240.0,0.0
2170538.0,1.0
2170544.0,0.0
2172094.0,0.6666666666666666
2175329.0,1.0
2184469.0,0.8
2185086.0,0.5
2200955.0,0.5
2201042.0,0.0
2202146.0,0.0
2212477.0,1.0
2219873.0,0.0
2248770.0,0.0
2267679.0,0.5
2268393.0,0.6666666666666666
2283388.0,0.5
2283800.0,1.0
2291614.0,1.0
2293720.0,0.8
2294149.0,1.0
2303411.0,0.5
2303485.0,1.0
2306727.0,0.5
2316740.0,0.0
2338394.0,0.6666666666666666
2338396.0,1.0
2340808.0,0.5
2364291.0,0.0
2419797.0,0.0
2419804.0,0.8333333333333334
2487100.0,0.875
2491019.0,1.0
2494552.0,0.6666666666666666
2497337.0,0.5
2510428.0,1.0
2518104.0,0.5
2528410.0,1.0
2560282.0,1.0
2560349.0,1.0
2560371.0,0.8
2560401.0,0.625
2560515.0,1.0
2560811.0,0.0
2560813.0,0.0
2562807.0,0.5
2588671.0,0.5
2591696.0,1.0
2608606.0,1.0
2664236.0,0.3333333333333333
2676436.0,0.7
2706523.0,1.0
2730579.0,1.0
2731270.0,0.75
2734556.0,0.0
2908018.0,1.0
3051985.0,0.6666666666666666
3052813.0,0.0
3158378.0,0.25
3240217.0,0.0
3240745.0,1.0
3241188.0,0.5714285714285714
