is_selected,tax_id,tile_ID
False,222456,32
False,222459,12
False,222464,14
False,222474,51
False,222475,25
False,223265,36
False,223276,19
False,223318,59
False,223323,47
False,223332,31
False,223345,23
False,223352,52
False,223356,46
False,223357,54
False,228578,22
False,229030,38
False,229636,53
False,232380,79
False,233051,36
False,234829,8
False,241525,24
False,244050,144
False,255255,69
False,255587,47
False,260374,44
False,260377,54
False,260378,60
False,260379,82
False,263001,53
False,263578,8
False,268776,61
False,269095,5
False,269275,59
False,270117,55
False,270146,46
False,270256,48
False,271479,5
False,278069,8
False,283876,105
False,290031,44
False,290090,81
False,291270,8
False,295090,26
False,297249,46
False,298650,24
False,300411,82
False,304222,8
False,306025,8
False,307111,8
False,307677,242
False,310103,60
False,312008,226
False,312009,229
False,312295,153
False,316983,211
False,325111,25
False,325113,8
False,326202,304
False,326489,8
False,326811,79
False,327387,33
False,329290,76
False,333348,199
False,335404,47
False,339965,8
False,341035,66
False,341111,40
False,341167,321
False,345030,64
False,351427,263
False,352882,38
False,360580,8
False,361697,69
False,368735,36
False,368736,189
False,369762,43
False,371401,23
False,377462,36
False,378833,97
False,379892,249
False,390440,48
False,390441,39
False,390442,5
False,390443,18
False,390444,80
False,391228,66
False,392761,29
False,395349,81
False,400835,48
False,401040,54
False,402399,35
False,407837,56
False,408136,73
False,411248,8
False,412688,13
False,421012,308
False,425279,35
False,425303,40
False,430710,112
False,433462,306
False,435487,57
False,435646,45
False,436242,8
False,436243,8
False,436246,6
False,437061,5
False,437063,22
False,437470,33
False,439421,24
False,439422,59
False,439423,52
False,439425,14
False,439426,55
False,439427,40
False,445227,58
False,447171,217
False,447597,27
False,447602,8
False,447606,8
False,452758,77
False,456390,43
False,463360,59
False,473784,124
False,479060,34
False,487155,4
False,497865,8
False,498805,81
False,507474,43
False,507475,60
False,507476,14
False,508748,16
False,509531,17
False,516956,226
False,519015,61
False,519350,15
False,535898,40
False,536082,52
False,536083,49
False,536085,54
False,547467,250
False,548908,254
False,548915,30
False,551531,14
False,569949,28
False,574890,27
False,575917,52
False,577124,22
False,578361,57
False,579113,19
False,587314,9
False,591166,112
False,592207,72
False,603333,73
False,620894,51
False,630199,227
False,634441,83
False,635076,8
False,638358,60
False,642493,13
False,643133,54
False,649509,78
False,652717,31
False,662596,8
False,664980,39
False,666145,54
False,666147,27
False,666635,8
False,674908,26
False,676044,22
False,676234,37
False,683179,59
False,693894,37
False,713949,39
False,714310,50
False,714640,8
False,717848,107
False,741733,27
False,742163,47
False,743026,25
False,743041,28
False,743042,27
False,758677,375
False,759124,11
False,797075,18
False,858512,67
False,858513,62
False,858516,71
False,858517,38
False,861561,308
False,873160,80
False,875323,58
False,878260,104
False,881944,39
False,889510,67
False,908072,8
False,908124,52
False,908125,7
False,908127,34
False,909827,21
False,912034,16
False,913600,68
False,915293,25
False,929051,8
False,938276,24
False,938277,8
False,943272,33
False,944580,37
False,944996,25
False,971271,13
False,994388,34
False,995049,207
False,996311,34
False,997078,50
False,999288,4
False,1000664,48
False,1000665,47
False,1000690,8
False,1027869,260
False,1027880,251
False,1032478,90
False,1036255,8
False,1038082,84
False,1043184,223
False,1050407,216
False,1076345,30
False,1080798,154
False,1089387,54
False,1092564,60
False,1093773,224
False,1112202,27
False,1123754,42
False,1128119,37
False,1129032,76
False,1129034,54
False,1129035,73
False,1130981,37
False,1131702,435
False,1162557,63
False,1169032,35
False,1170656,72
False,1174526,65
False,1175505,10
False,1176156,8
False,1176736,198
False,1182518,69
False,1188812,47
False,1188819,40
False,1196236,68
False,1196237,67
False,1198134,90
False,1198498,7
False,1202142,89
False,1206566,519
False,1211481,227
False,1213187,8
False,1213588,236
False,1214459,234
False,1221437,58
False,1227355,46
False,1231298,27
False,1238162,9
False,1247116,252
False,1250303,26
False,1250316,11
False,1260769,27
False,1266977,45
False,1266994,54
False,1266995,54
False,1296569,251
False,1297645,70
False,1297646,8
False,1297894,68
False,1302849,62
False,1303385,41
False,1307958,56
False,1312723,59
False,1312724,56
False,1312929,270
False,1329380,52
False,1331744,213
False,1333313,53
False,1335766,8
False,1335768,60
False,1340746,48
False,1343493,16
False,1352511,32
False,1367126,34
False,1381007,83
False,1384631,44
False,1384632,8
False,1391702,130
False,1391746,62
False,1397670,8
False,1403565,318
False,1411991,9
False,1416026,34
False,1421055,67
False,1424279,258
False,1425362,226
False,1431395,54
False,1441796,24
False,1441797,24
False,1441798,24
False,1441799,24
False,1453080,25
False,1453082,24
False,1454227,26
False,1455652,24
False,1455653,24
False,1455654,24
False,1458458,24
False,1458459,24
False,1461792,8
False,1468172,63
False,1476487,66
False,1485012,55
False,1489311,46
False,1498504,18
False,1501716,34
False,1503864,179
False,1504732,15
False,1504733,7
False,1507725,26
False,1530093,61
False,1538549,44
False,1561150,32
False,1569052,256
False,1569053,230
False,1569054,256
False,1569057,220
False,1571533,61
False,1578825,24
False,1590154,101
False,1590155,74
False,1590172,87
False,1590173,59
False,1602124,135
False,1602199,81
False,1628899,65
False,1631303,73
False,1632184,20
False,1633139,23
False,1634914,215
False,1654603,483
False,1678003,81
False,1705090,11
False,1705091,8
False,1705092,27
False,1725329,26
False,1729670,122
False,1736759,8
False,1738045,47
False,1740165,58
False,1761477,32
False,1778580,201
False,1809767,158
False,1817526,123
False,1819678,37
False,1825931,6
False,1828512,79
False,1833824,147
False,1841147,26
False,1853865,83
False,1874267,21
False,1884832,58
False,1884991,14
False,1897538,54
False,1904880,54
False,1912598,21
False,1913124,152
False,1925152,8
False,1930269,35
False,1931111,6
False,1931113,8
False,1931356,358
False,1950126,37
False,1958957,16
False,1960254,358
False,1967841,365
False,1972995,107
False,1979541,38
False,1980161,24
False,1980165,24
False,1980168,24
False,1980173,24
False,1980174,24
False,1985164,114
False,1985202,113
False,1985374,56
False,1985392,56
False,2010286,11
False,2010315,8
False,2010316,8
False,2010323,8
False,2010327,8
False,2012856,68
False,2012857,65
False,2016427,186
False,2020287,72
False,2020881,55
False,2021212,67
False,2022321,86
False,2025096,16
False,2025352,86
False,2025388,68
False,2026195,35
False,2026196,10
False,2027645,59
False,2031200,8
False,2034762,26
False,2034763,14
False,2045345,224
False,2048879,40
False,2049883,8
False,2049892,8
False,2050584,64
False,2051550,368
False,2052157,224
False,2052606,24
False,2056884,211
False,2056886,204
False,2058778,114
False,2058779,114
False,2065797,112
False,2069326,113
False,2073163,176
False,2093274,78
False,2122733,101
False,2161875,53
False,2161877,67
False,2161878,56
False,2161879,25
False,2161880,32
False,2162638,92
False,2164175,8
False,2169723,24
False,2169724,24
False,2169726,22
False,2169733,60
False,2169734,7
False,2169737,65
False,2169741,52
False,2169742,54
False,2169743,53
False,2169744,81
False,2169824,27
False,2169825,37
False,2169827,27
False,2169828,27
False,2169843,23
False,2169905,27
False,2169981,23
False,2169988,39
False,2169998,242
False,2170046,39
False,2170135,305
False,2182585,46
False,2185087,72
False,2200716,35
False,2203894,8
False,2282485,92
False,2282642,61
False,2282643,52
False,2282644,55
False,2282645,50
False,2282646,58
False,2292642,179
False,2303151,55
False,2303390,33
False,2304214,34
False,2306623,298
False,2320870,307
False,2419805,112
False,2491018,401
False,2496575,56
False,2518373,134
False,2557970,69
False,2558065,24
False,2558066,24
False,2560350,58
False,2560380,78
False,2560381,56
False,2560614,81
False,2560636,82
False,2560810,40
False,2560812,32
False,2560838,27
False,2560851,114
False,2571287,66
False,2575594,78
False,2586645,186
False,2596881,50
False,2596883,55
False,2601256,35
False,2607629,158
False,2697535,233
False,3240218,233
True,10640,202
True,10641,213
True,10649,203
True,10653,209
True,10654,221
True,10826,56
True,10840,54
True,11307,391
True,12042,141
True,12045,149
True,12138,44
True,12161,473
True,12162,574
True,12166,261
True,12167,254
True,12169,228
True,12173,253
True,12177,209
True,12178,187
True,12179,171
True,12180,219
True,12182,213
True,12183,189
True,12187,183
True,12188,168
True,12194,170
True,12197,305
True,12202,324
True,12203,304
True,12204,297
True,12205,333
True,12208,320
True,12209,306
True,12211,314
True,12215,306
True,12216,305
True,12222,305
True,12224,306
True,12227,307
True,12228,303
True,12230,314
True,12232,307
True,12430,234
True,12431,241
True,12433,226
True,12458,248
True,12471,152
True,12472,153
True,12473,151
True,12777,299
True,12844,386
True,28347,234
True,29271,320
True,31722,258
True,31741,308
True,31744,147
True,32612,362
True,32619,307
True,32620,327
True,32624,307
True,33765,302
True,35287,343
True,35288,226
True,35289,233
True,35290,300
True,38062,232
True,40640,305
True,40666,310
True,40687,284
True,40979,141
True,41459,347
True,42004,314
True,42631,314
True,42882,272
True,43130,339
True,43240,305
True,45661,312
True,46076,260
True,46619,385
True,46917,326
True,47903,206
True,48200,47
True,51354,340
True,51680,191
True,52280,308
True,52996,195
True,53010,66
True,53181,72
True,53260,15
True,53954,319
True,55951,483
True,57119,64
True,59380,384
True,59504,214
True,62059,340
True,64003,459
True,65467,239
True,66200,153
True,67761,240
True,70177,421
True,71030,258
True,71032,407
True,73423,319
True,75387,263
True,78395,65
True,81877,229
True,82791,125
True,85454,195
True,87097,307
True,91613,303
True,91753,218
True,94290,76
True,101764,254
True,104389,44
True,104390,43
True,104392,44
True,104637,259
True,112227,208
True,112228,193
True,112229,191
True,112437,307
True,114892,45
True,114921,311
True,114922,302
True,123735,55
True,128818,258
True,129141,256
True,129732,318
True,131082,156
True,131083,198
True,137475,315
True,137758,291
True,138982,232
True,146500,321
True,148879,221
True,150284,229
True,154339,432
True,156690,156
True,157270,216
True,157777,210
True,160842,306
True,160843,309
True,160844,252
True,163655,50
True,165250,240
True,167129,310
True,167634,487
True,168135,321
True,172394,55
True,174178,244
True,178354,204
True,180903,184
True,183585,246
True,187977,290
True,187978,305
True,193121,158
True,195059,387
True,195060,362
True,196400,264
True,199587,80
True,201862,308
True,203168,418
True,204478,301
True,206392,273
True,213888,200
True,216614,259
True,217615,496
True,217686,514
True,218923,143
True,220608,54
True,221054,7
True,221262,306
True,222460,79
True,223334,24
True,223337,60
True,223344,55
True,224578,94
True,225752,21
True,227137,11
True,228582,154
True,240492,72
True,240865,74
True,241651,45
True,253700,195
True,253701,196
True,253702,198
True,255066,305
True,262957,219
True,263004,270
True,263892,257
True,264076,211
True,265877,386
True,268316,64
True,270478,317
True,279896,162
True,282712,302
True,290030,11
True,291286,326
True,292627,8
True,299200,313
True,300740,461
True,301865,174
True,305785,160
True,307110,33
True,309390,31
True,310749,578
True,317027,215
True,320856,302
True,322053,309
True,323118,352
True,326941,490
True,328430,159
True,328670,199
True,328671,202
True,329048,44
True,329164,248
True,332471,307
True,334778,208
True,335963,246
True,337823,80
True,337824,8
True,337826,83
True,348823,349
True,348894,162
True,351426,254
True,351428,255
True,354328,484
True,360579,40
True,362692,459
True,362693,453
True,365150,228
True,367061,79
True,367121,411
True,367682,247
True,369752,301
True,373398,307
True,373861,137
True,375546,251
True,377610,51
True,379728,82
True,380669,235
True,387423,208
True,390439,84
True,390849,46
True,394036,318
True,397544,317
True,399314,507
True,400394,307
True,400396,305
True,404404,260
True,405558,309
True,409486,307
True,414528,306
True,417192,7
True,417288,55
True,418827,308
True,419782,192
True,421010,314
True,421013,306
True,424679,43
True,429130,44
True,429564,52
True,430059,42
True,431317,316
True,433357,307
True,435486,7
True,436007,45
True,436066,256
True,443746,307
True,447600,8
True,447603,9
True,447604,8
True,447605,8
True,453050,344
True,457382,175
True,471285,361
True,471498,273
True,471717,155
True,474454,46
True,475777,64
True,478550,253
True,488317,367
True,496807,54
True,497863,62
True,501328,54
True,508750,62
True,515320,209
True,515446,310
True,515575,315
True,520848,55
True,524023,159
True,543876,83
True,549205,209
True,551003,43
True,551454,329
True,565624,47
True,572239,155
True,573615,323
True,578107,306
True,587370,211
True,587620,88
True,588752,303
True,590403,251
True,591160,86
True,592206,254
True,596957,258
True,614034,26
True,640136,8
True,646010,157
True,647294,138
True,653358,55
True,656190,236
True,658650,74
True,670251,8
True,670883,199
True,671095,22
True,671126,213
True,674996,26
True,675077,377
True,680112,297
True,681518,74
True,685899,155
True,688540,22
True,693892,57
True,715480,310
True,761701,84
True,796352,311
True,859650,88
True,875324,58
True,887825,66
True,887827,65
True,908028,72
True,911574,26
True,930168,218
True,930881,344
True,936005,67
True,937809,501
True,940280,474
True,940846,41
True,944994,20
True,945225,65
True,945960,303
True,946046,290
True,998864,364
True,1001341,83
True,1003891,253
True,1010616,253
True,1016852,201
True,1016853,205
True,1016854,207
True,1016855,201
True,1016856,200
True,1016857,202
True,1030595,64
True,1031708,33
True,1032457,196
True,1034096,199
True,1046402,251
True,1046403,184
True,1046574,80
True,1048434,303
True,1051792,229
True,1072517,305
True,1072672,67
True,1080799,303
True,1081702,47
True,1133751,68
True,1168550,352
True,1176153,311
True,1177751,447
True,1177752,496
True,1177753,437
True,1188792,458
True,1188793,488
True,1198144,300
True,1198219,50
True,1200971,7
True,1211388,279
True,1211480,358
True,1213406,83
True,1218727,46
True,1220025,301
True,1221449,208
True,1225069,100
True,1231334,8
True,1239452,308
True,1243178,252
True,1247115,253
True,1266993,53
True,1301220,183
True,1302848,67
True,1302850,62
True,1306546,79
True,1324128,304
True,1367218,84
True,1381464,489
True,1383052,93
True,1392388,21
True,1400526,287
True,1406816,330
True,1414644,299
True,1417304,227
True,1418029,7
True,1425363,228
True,1428189,16
True,1432563,36
True,1432565,73
True,1453083,24
True,1459800,214
True,1462681,152
True,1468454,493
True,1471299,208
True,1472425,226
True,1476485,8
True,1476909,205
True,1489312,45
True,1492296,62
True,1493829,547
True,1497848,270
True,1505530,228
True,1507984,8
True,1512278,193
True,1513529,45
True,1514896,454
True,1543207,515
True,1547577,88
True,1564903,227
True,1568974,66
True,1569055,256
True,1569056,254
True,1577997,154
True,1592930,255
True,1608257,44
True,1619899,205
True,1667230,263
True,1679239,332
True,1688637,313
True,1692045,456
True,1702121,261
True,1711684,482
True,1711685,212
True,1719047,244
True,1720595,338
True,1766828,89
True,1770265,158
True,1770618,290
True,1774276,462
True,1775456,90
True,1775963,303
True,1776177,490
True,1777016,150
True,1803898,257
True,1808970,221
True,1815581,466
True,1825924,151
True,1830242,78
True,1848040,200
True,1853762,59
True,1856031,298
True,1862127,298
True,1868472,232
True,1868659,68
True,1874886,64
True,1881013,196
True,1881630,85
True,1886606,314
True,1890365,310
True,1899219,28
True,1899566,254
True,1904884,80
True,1905830,361
True,1906317,87
True,1913024,167
True,1913125,158
True,1914900,58
True,1919062,67
True,1921009,212
True,1923137,296
True,1925153,87
True,1940252,220
True,1955054,50
True,1955730,202
True,1959287,297
True,1960252,196
True,1960253,196
True,1960255,212
True,1960887,108
True,1963256,155
True,1963260,302
True,1965225,310
True,1965306,494
True,1965355,123
True,1972716,213
True,1972994,320
True,1973265,219
True,1977392,168
True,1978413,243
True,1982660,243
True,1985699,352
True,1985968,248
True,1987360,85
True,1993907,304
True,2005044,315
True,2006498,100
True,2010319,7
True,2010326,7
True,2010332,8
True,2011125,203
True,2013968,205
True,2016034,217
True,2016426,219
True,2018312,325
True,2018313,324
True,2019445,149
True,2020286,251
True,2020956,207
True,2021667,80
True,2024724,553
True,2030909,20
True,2033633,208
True,2040662,8
True,2049944,92
True,2050583,25
True,2050589,9
True,2052838,200
True,2054409,134
True,2056878,201
True,2056879,209
True,2056880,219
True,2056881,218
True,2056882,218
True,2056883,208
True,2056885,210
True,2057979,231
True,2058396,304
True,2060142,81
True,2060511,197
True,2070152,306
True,2074132,256
True,2093224,477
True,2093273,77
True,2093275,77
True,2093276,69
True,2093496,223
True,2116736,265
True,2136283,308
True,2137858,271
True,2152660,394
True,2169693,474
True,2169727,206
True,2169728,204
True,2169732,54
True,2169736,50
True,2169739,73
True,2169740,71
True,2169908,25
True,2169985,94
True,2169987,40
True,2170100,156
True,2170101,152
True,2170132,304
True,2170240,296
True,2170538,209
True,2170544,131
True,2172094,8
True,2175329,259
True,2184469,483
True,2185086,220
True,2200955,255
True,2201042,475
True,2202146,26
True,2212477,258
True,2219873,94
True,2248770,142
True,2267679,209
True,2268393,489
True,2283388,92
True,2283800,185
True,2291614,53
True,2293720,303
True,2294149,332
True,2303411,264
True,2303485,220
True,2306727,298
True,2316740,454
True,2338394,500
True,2338396,188
True,2340808,417
True,2364291,368
True,2419797,348
True,2419804,271
True,2487100,373
True,2491019,304
True,2494552,360
True,2497337,352
True,2510428,174
True,2518104,125
True,2528410,214
True,2560282,266
True,2560349,215
True,2560371,186
True,2560401,136
True,2560515,170
True,2560811,33
True,2560813,51
True,2562807,315
True,2588671,53
True,2591696,304
True,2608606,304
True,2664236,512
True,2676436,363
True,2706523,82
True,2730579,320
True,2731270,249
True,2734556,317
True,2908018,302
True,3051985,211
True,3052813,256
True,3158378,256
True,3240217,233
True,3240745,303
True,3241188,217
