,tileID,ratio_rep1,coverage_rep1,ratio_rep2,coverage_rep2,ratio_rep3,coverage_rep3,iscontrol,log_cov_rep1,log_cov_rep2,log_cov_rep3
14,SCFAV_gp01-272,1.126368031287689,0.00020106084157777302,1.0243230538601977,0.00019766470559143707,0.9245156453149033,0.00016738957758495642,no,-3.6966725039564654,-3.7040708700655633,-3.7762715865951804
15,A996_gp2-045,1.1756887743968236,0.00016812220911857406,1.10934369692024,0.00015656140770785377,1.1156111723338813,0.00012159431579284569,no,-3.7743749120183536,-3.805315282412622,-3.915086726687469
16,PhVS_gp1-041,0.9083633221024333,0.0012159927578531107,0.9636371337346512,0.001212257456619092,0.9072934793265675,0.0014864284726513177,no,-2.9150690116042357,-2.9164051358504537,-2.827855984326671
17,D1Q45_gp1-440,0.9305222703439131,0.0004563599718396124,1.1286138378658914,0.0004905783995477162,0.9479892547580256,0.0004356189680816049,no,-3.3406924553395947,-3.3092915779473153,-3.360893218094813
18,D1Q45_gp1-442,1.0224632431769107,0.00033413423557709937,1.149316413707419,0.00034315984079217227,0.8415676323843438,0.00033162086125321553,no,-3.4760790240311747,-3.4645035423351414,-3.4793581571260312
19,B1U05_gp3-084,1.1133208128301695,0.00033258457018612604,1.150223755869118,0.00029820969579897157,1.3268511576278703,0.0003891469290216305,no,-3.478097903157581,-3.5254782402809584,-3.4098863924649145
20,BaSUAV_gp3-115,1.763778801290677,7.48785128276685e-05,0.8744524867452902,4.616216531540892e-05,0.9277170695609501,6.654976467326434e-05,no,-4.125642789766092,-4.335713828048205,-4.176853475896045
21,D1Y37_gp1-438,1.0294933386487828,0.0006919750544756842,0.9155900568762871,0.0006220035597036863,0.9231348435741807,0.000720767790274846,no,-3.15990956146641,-3.206207129850589,-3.1422046293797883
22,D1Y37_gp1-122,0.867883497078432,0.0008407759036131866,1.0194677228017466,0.0009030868813844981,0.9129877656595523,0.0009718521566522806,no,-3.075319743551872,-3.044270466418717,-3.0123997972482632
23,V187_gp1-187,1.0223596378819642,0.0005076967593661116,0.979106004208628,0.0004902095237974789,1.2063602975807006,0.0005811260806723015,no,-3.294395608692908,-3.3096182555227145,-3.235729633186433
24,ABY30_gp3-152,0.9224429855052,0.0022495536304241916,1.0011612113535941,0.002009714132096356,0.8864699493230349,0.0023278882090285247,no,-2.647903648588813,-2.6968657135658227,-2.6330378794206757
25,B5V04_gp1-447,0.8776942623164357,0.0013432961211413662,0.7979154519491501,0.0012757567821956534,0.6703579255100055,0.0013021194633697688,no,-2.8718282393032255,-2.8942321141873295,-2.8853491694527507
26,A6I62_gp2-081,1.299055707587222,0.00458245947592031,1.3310499616744071,0.0045662865639194885,1.4829455370655789,0.004947693012928927,no,-2.338901366946654,-2.3404368372120237,-2.305597254662764
27,PVVgp1-116,0.9576481114333594,0.0005117852382699562,0.8622626007880049,0.0004192799866804236,1.4297709739840498,0.0006377497787502315,no,-3.2909122448856403,-3.3774958671020157,-3.1953496833846877
28,BMI92_gp2-040,0.3565782431873547,5.136975913056254e-05,1.2786595752765704,5.3460635516532363e-05,1.571271107717215,5.7751660191036174e-05,no,-4.289292470649282,-4.271965882846922,-4.238435526562358
29,BSCVV_gp3-085,0.999753256738357,0.0004085181743438189,1.1370610615329249,0.0003662936199856249,0.8357208429235784,0.0003808000093846448,no,-3.3887886176097637,-3.4361706457066483,-3.4193030495845713
30,BSCVV_gp3-036,0.743443974203404,5.7997051547278247e-05,0.8600833957728242,5.749192050126842e-05,2.2023554050790475,0.00011888720672139088,no,-4.236594084528366,-4.240393183627944,-3.924864876661661
31,BSCVV_gp3-086,1.2366292127190912,0.00019736802192268766,1.182402770672368,0.00016301673333700629,0.6258377273230608,0.00015475640191816724,no,-3.704723211481655,-3.7877678138602664,-3.8103513761674557
32,BSCVV_gp3-038,2.2176135331824294,6.94711697612935e-05,0.9619788178328209,3.6228868326876296e-05,0.951871482646081,3.789952700036749e-05,no,-4.158195388377727,-4.440945231713986,-4.421366210148345
33,BSCVV_gp3-054,1.219730233491165,0.0007092521750048336,1.435390351032114,0.000580320599926873,1.1371031319545737,0.0005865402988152112,no,-3.1491993237151923,-3.236332012796182,-3.2317021439033895
34,D566_gp1-044,1.1484293620900143,0.001048925640064561,1.025456433274817,0.0007945847142789879,0.9581688512335614,0.001083520405849792,no,-2.97925529851216,-3.099859793884407,-2.9651629052352453
35,TCTV_gp5-017,0.994988756619406,0.0005252046811237039,0.998725562154261,0.00045382256586335806,0.7874244773209041,0.0005199905341419468,no,-3.279671411719775,-3.3431139130648364,-3.2840045621485405
36,TCTV_gp5-019,0.5119492924400678,9.627708386472568e-06,0.5764551482211343,1.1198013846489036e-05,0.5528546490116127,9.926066595334342e-06,no,-5.016477072537409,-4.950858999829956,-5.00322281538802
37,CVYV_gp1-194,1.0550453717043284,0.0001517023502950695,1.1642667631577284,0.00014025182989379093,1.1996945883551995,0.00015204929284671242,no,-3.819007690721031,-3.8530914637075124,-3.8180155953388875
38,CVYV_gp1-063,1.0785787543308392,0.003244966357094078,1.175375790713505,0.0031960448931273415,0.8935065170529868,0.0032088266193644474,no,-2.4887898014843017,-2.4953871290136944,-2.493653748248069
39,CVYV_gp1-238,1.3056164118395657,3.2312171981996974e-05,0.5480439548265412,2.3792485890304942e-05,0.871710353557845,4.4892892101625776e-05,no,-4.490633848293332,-4.623560179566762,-4.347822415464501
40,A8V28_gp5-019,0.723976105589575,0.00031860461006330283,1.3210989177455106,0.00036721580936121813,0.9634980713851612,0.0003595943216582487,no,-3.4967479444464735,-3.435078629838601,-3.4441871748141137
41,D1S96_gp1-106,0.9507558832476877,0.0005983686705400828,0.972785974780651,0.000569702247973614,0.9524587096489967,0.000674746936060114,no,-3.2230311533918483,-3.244352066868386,-3.170859078842889
42,IYMV_gp3-097,1.3949453201102244,0.011013966507708365,1.2943647659212392,0.010737604213657156,1.4966003651875146,0.010796402161807068,no,-1.9580562484956985,-1.9690926081016458,-1.9667209465126445
43,IYMV_gp3-071,1.2749947254574443,0.019089042058841914,1.2199038105636162,0.01909443163874712,1.3874908897837446,0.01960104882429125,no,-1.7192158651630385,-1.7190932642259582,-1.7077206895406967
44,BGV88_gp1-119,0.7307270085027819,0.00014929542319845133,1.1453162765255829,0.00018130243124162603,1.2400270046958453,0.00019288152134115598,no,-3.825953505805612,-3.7415963720338747,-3.714709377146035
45,KM671_gp1-220,0.6409138191170072,0.0003181430076064172,0.8974590633030533,0.0004104006204068547,0.91743987700846,0.00035801517469990005,no,-3.4973776175835645,-3.386791991368292,-3.4460985651193594
46,KM671_gp1-180,1.0479350905459586,0.0001450420862742905,1.2571005824054347,0.00013184673244195564,1.0856054926046212,0.00014392796563234797,no,-3.838505962008964,-3.879930628858885,-3.841854813153045
47,CCSV_gp2-085,0.9401690519476732,0.0007681724314658832,0.9028530206455516,0.0007579606219340003,0.831324539954654,0.0008254426743710991,no,-3.114541283056136,-3.1203533565328576,-3.0833130823876
48,LNYV_gp6-059,1.403886441828568,0.0005435039213788145,1.209052155587615,0.00041445825365946483,1.177171121044703,0.000532623709808736,no,-3.264797318133277,-3.3825192072569807,-3.2735795047954803
49,PoLV_gp1-041,1.0734928786192428,0.0002730048816438112,1.1247072518318997,0.0002483324247133157,0.9194298021680184,0.00022875071653793234,no,-3.563829587200947,-3.604966571002437,-3.6406375368768904
50,PoLV_gp5-020,0.6481661533209604,0.00019957711939492623,0.8303457329961842,0.00017692861877452679,0.8483703053886639,0.00020100284855552043,no,-3.699889250073275,-3.7522019128755333,-3.696797787837333
51,BSGFVp3-081,1.0134348563400828,0.0006185802638308625,0.8705487182543825,0.000528388163947038,0.9991696000366125,0.0006512853241075056,no,-3.208603940534077,-3.2770469192748855,-3.186228707993487
52,LMVgp1-003,0.8734332014389686,0.00031778031996172127,1.0759187793358622,0.00034384489575689867,1.058239055909139,0.00033545593243777653,no,-3.4978730020206377,-3.4636374182059675,-3.474364523352253
