,tileID,ratio_rep1,coverage_rep1,ratio_rep2,coverage_rep2,iscontrol,log_cov_rep1,log_cov_rep2
1742,eLW044-fLW132-1701,0.9008702263274974,0.000769601189036585,0.903006490943391,0.0007412892905967,no,-3.1137342699832,-3.1300122740835112
1743,eLW044-fLW132-1702,0.6588828873827837,0.000815711310264985,0.8727510446192952,0.000888613417401521,no,-3.088463515930403,-3.051287133522056
1744,eLW044-fLW132-1703,0.9497637959125709,0.0006656381624290483,1.0398827328154108,0.0006598118960917649,no,-3.176761786991913,-3.180579858599048
1745,eLW044-fLW132-1704,0.8798084509857559,0.0005019536438848471,0.8789048298977933,0.0004391898610971959,no,-3.299336388700804,-3.357347694332932
1746,eLW044-fLW132-1705,1.0048158292788862,0.0003022713548941598,1.1807388295460435,0.00029272476710173257,no,-3.5196030073072855,-3.533540530861162
1747,eLW044-fLW132-1706,1.0211610423937576,0.0003358875934536012,1.0122707492324616,0.00036296003657985797,no,-3.4738060372245703,-3.4401411899729477
1748,eLW044-fLW132-1707,1.1317110743842014,0.0014732705837541347,1.154014854898174,0.0013182231952117512,no,-2.83171748245858,-2.8800110508631627
1749,eLW044-fLW132-1708,0.9575174505597547,0.0006237964791212748,0.844250034279079,0.0005975880412922132,no,-3.2049570808493417,-3.2235981020440105
1750,eLW044-fLW132-1709,1.0652056265737264,0.0002526255747873008,0.8440413715954711,0.00020943593384663034,no,-3.597522685345342,-3.6789488024449297
1751,eLW044-fLW132-1710,0.7669932628681047,0.0005072296529884543,1.1232863916852331,0.0005715742868697115,no,-3.2947953652351205,-3.242927316833091
1752,eLW044-fLW132-1711,0.8479630260932142,0.00123749892693669,0.7780909886305599,0.0012172868401122382,no,-2.907455168980799,-2.9146070730438463
1753,eLW044-fLW132-1712,1.2934511754346678,0.0008602459565527245,0.9540023173909481,0.0007589928363199819,no,-3.0653773600333523,-3.119762323131376
1754,eLW044-fLW132-1713,0.7822732439266555,0.0002705786613204085,0.7796301567555606,0.00026432066051406203,no,-3.567706456209242,-3.577868889094677
1755,eLW044-fLW132-1714,0.6133167478135519,0.0001349412606151746,0.7335981432026766,0.0001524409744083855,no,-3.8698552370022976,-3.816898283864496
1756,eLW044-fLW132-1715,1.0813533041835928,0.0003399178781855233,0.892443020938762,0.0002908199552201136,no,-3.46862599283639,-3.536375796765405
1757,eLW044-fLW132-1716,1.1799089949362085,0.00017057264154057708,0.7808881220287979,0.0001509096550525742,no,-3.7680906248728796,-3.82128297359806
1758,eLW044-fLW132-1717,0.7436181936031276,0.0008254755910018691,0.9813858400884652,0.0008487244156452657,no,-3.08329576413338,-3.071233304094714
1759,eLW044-fLW132-1718,0.8726927130681638,0.00022888353382106863,1.2131676895103782,0.000292650068596571,no,-3.640385449911189,-3.53365136975206
1760,eLW044-fLW132-1719,0.5105089046357596,0.00022705158621564946,0.6175051149687119,0.000250127944533372,no,-3.643875459707532,-3.6018377857637556
1761,eLW044-fLW132-1720,0.7937046374057128,0.0003117242045381226,0.9252528909373723,0.0003147048022455118,no,-3.5062294746265192,-3.502096629909106
1762,eLW044-fLW132-1721,0.8947249943428337,0.0010814719493831412,0.8984501236187149,0.0012012640107550907,no,-2.9659847405671016,-2.920361533968028
1763,eLW044-fLW132-1722,1.1440158275238332,0.0006730209112788874,1.0927033547854508,0.0007488151649917238,no,-3.171971441701815,-3.1256253688565794
1764,eLW044-fLW132-1723,0.8709162355965535,0.00013550916437285454,0.7743563911166651,0.00012526939315588018,no,-3.868031332819284,-3.902155026429868
1765,eLW044-fLW132-1724,0.6278315311084931,0.00011753775836369268,0.8237845675757959,0.000123644700668617,no,-3.9298225962450846,-3.907824492482599
1766,eLW044-fLW132-1725,0.8588114706015566,0.00022267323143869772,0.8140649501678533,0.0002451231446875497,no,-3.6523319883418375,-3.610615680443012
1767,eLW044-fLW132-1726,1.0893115202677355,0.00036428278133759803,1.3513306354001295,0.0003821015285274992,no,-3.438561356199193,-3.417821224992223
1768,eLW044-fLW132-1727,0.5416681087552759,0.00012664253796262586,0.7708109459857874,0.00012188928579732111,no,-3.8974203946387584,-3.9140344676679395
1769,eLW044-fLW132-1728,1.0480543116984964,0.0003276621487052692,1.1178299431432652,0.00034667576245464517,no,-3.4845737251049176,-3.4600765206169237
1770,eLW044-fLW132-1729,0.8151197691536193,5.532481768365833e-05,0.7928416724415807,5.286786702807049e-05,no,-4.257080008564041,-4.276808210998813
1771,eLW044-fLW132-1730,1.0233911158770148,0.00037727128986001976,0.8216594299443479,0.00045911568734903317,no,-3.423346243115424,-3.338077867737736
1772,eLW044-fLW132-1731,0.8499367234571423,0.000321140415229977,0.9448633677722241,0.0003318667838063725,no,-3.493305035427397,-3.479036213489257
1773,eLW044-fLW132-1732,0.9016878163171896,0.0014460478423376061,0.9763660686775844,0.0014767334231645106,no,-2.839817338217486,-2.8306978955462525
1774,eLW044-fLW132-1733,0.8486398110761552,0.0004499080124148891,0.8746341799648726,0.0005055221336806316,no,-3.346876272412145,-3.29625982459341
1775,eLW044-fLW132-1734,0.9978050187729982,0.0003332129499496892,0.7718121996745309,0.0003168150350163249,no,-3.477278128566563,-3.49919421638278
1776,eLW044-fLW132-1735,0.7494780858849093,0.00016386771330474298,0.8864982079284146,0.00016534514117503923,no,-3.7855066066178003,-3.7816085627210874
1777,eLW044-fLW132-1736,0.9366206392801957,0.0009166149843714718,0.7062553987029991,0.0008081631273425568,no,-3.0378130474003604,-3.092500968242501
1778,eLW044-fLW132-1737,1.0144601678783394,0.00048359752887854724,1.154855342326851,0.0004361645716381541,no,-3.315515926994791,-3.3603496137846665
1779,eLW044-fLW132-1738,1.2446093708153851,0.000592140424499632,1.0010551190486894,0.0005738152420245573,no,-3.2275752893016425,-3.241227919946344
1780,eLW044-fLW132-1739,0.8310806016290764,0.00022820571320706354,0.9245876970067837,0.0002388858195065622,no,-3.6416734870727456,-3.621809629625738
1781,eLW044-fLW132-1740,0.830107978793861,0.000592341938736228,0.890823908913931,0.0005827790626439406,no,-3.227427517541523,-3.234496059409839
1782,eLW044-fLW132-1741,1.0045296111517834,0.0008306600027252053,0.9228378820083721,0.0007853427340157104,no,-3.080576700831182,-3.104940769996728
1783,eLW044-fLW132-1742,0.8692088453385466,0.0002550071066743457,1.303967652420102,0.0001958221312809421,no,-3.5934477162466485,-3.708138226986212
1784,eLW044-fLW132-1743,0.9376495941583269,0.00030153857585199213,0.8197718965715496,0.0002687278723185921,no,-3.5206571206449406,-3.570687286427311
1785,eLW044-fLW132-1744,0.856861294246417,0.00019405820984205057,0.7036487361048189,0.0001995757311653088,no,-3.7120679792384323,-3.6998922709734723
1786,eLW044-fLW132-1745,1.1333285330450504,0.0003480883645056927,1.1723241624281064,0.0003615781142343697,no,-3.458310493565547,-3.4417978645763676
1787,eLW044-fLW132-1746,0.7743432117671002,0.0006556906869316223,0.9704809406187492,0.0006060102977491753,no,-3.1833009847686373,-3.2175199959366103
1788,eLW044-fLW132-1747,1.0769326197490048,0.0011205107528546232,0.9295661936598406,0.0010983107960162166,no,-2.9505839714510795,-2.959274747412896
