,tileID,ratio_rep1,coverage_rep1,ratio_rep2,coverage_rep2,iscontrol,log_cov_rep1,log_cov_rep2
52,BCMNVgp1-116,1.2348238984923312,0.022340154893562145,1.1478882209628016,0.021971714202856506,no,-1.650913820066152,-1.6581360587008156
53,BCTVgp6-012,1.061791757843167,0.0009320553960102284,1.2106389225120897,0.0010078228187062868,no,-3.030558274913607,-2.9966158127533853
54,BCVgp2-068,0.919450143384464,0.0007248326689246666,0.8144057986997756,0.0006081409800838354,no,-3.13976224080865,-3.2159957303077413
55,BCVgp2-069,0.797044748480487,0.0018099111323483551,0.875427885081743,0.0018824875048036689,no,-2.7423427487099454,-2.725267897790118
56,BCVgp2-084,1.19318688820226,0.005134454842820455,1.1379609334555647,0.004921570595365268,no,-2.2895056613799416,-2.3078962809620718
57,BCVgp2-085,1.5471413893061352,0.002642079130439131,1.2764923762922553,0.0024524028037094486,no,-2.578054179379164,-2.6104081960373633
58,BCVgp2-086,1.1077120346890332,0.0029461888031419203,0.9945443683995137,0.0029330431274317485,no,-2.5307394253361135,-2.53268155111153
59,BGV87_gp1-045,0.7146961707886434,0.0017371342041667345,0.9656993103248269,0.0019890743573040977,no,-2.760166628370632,-2.7013489813988176
60,BGV87_gp1-063,1.0767080275080771,0.0006432671818719907,1.036799211847043,0.0007416762777758982,no,-3.1916086048182963,-3.1297856115042952
61,BGV88_gp1-115,0.8547987444776063,0.001133745374169702,0.932673337052575,0.0011286476530959276,no,-2.9454844719068616,-2.94744161715325
62,BGV88_gp1-116,1.081809563374704,0.00043202257191323417,1.459271645315079,0.00044756294592934964,no,-3.3644935619784353,-3.349145876219977
63,BGV88_gp1-117,1.1784438508051305,0.0006238600010235586,1.0884834009240403,0.0006482902031859964,no,-3.2049128584017295,-3.1882305413068757
64,BGV88_gp1-119,0.9137747706106839,0.0011167853707308858,0.986807540419748,0.0011947458339193536,no,-2.9520302837005556,-2.9227244751900856
65,BH751_gp5-020,0.968304794643473,0.0074747012395379175,0.9025480950198307,0.007030583449113585,no,-2.126406161212641,-2.153008632559666
66,BJV11_gp1-425,1.2244409751799585,0.001387762389287832,1.3525407279146426,0.0015711188704026452,no,-2.857684886802571,-2.803790955121119
67,BJV11_gp1-426,0.7832796789818225,0.0016439925039763972,0.8481181401067787,0.0019342722707212517,no,-2.7841001670204872,-2.713482394084856
68,BJV11_gp1-427,0.9468713492785571,0.0003094934630039443,0.9330640906318977,0.0002999405323813385,no,-3.5093485195398144,-3.522964842009354
69,BJV11_gp1-428,1.179283929479069,0.0011361499919721942,1.0501963949152042,0.0010818980410385029,no,-2.9445643302572173,-2.965813665570295
70,BKK69_gp1-193,0.7923391201975044,0.00036965146767337163,0.8544588118570846,0.00038533070720829233,no,-3.4322075651294393,-3.414166380450465
71,BKK91_gp3-008,1.1815933555034384,0.005520683277468529,1.3366382579588123,0.006190127636058626,no,-2.2580071676929165,-2.2083003960421648
72,BMI92_gp2-038,1.3009382723686718,0.0009995762127120653,1.2227288821303706,0.0009981862508316019,no,-3.000184087490376,-3.0007884164665803
73,BMI92_gp2-040,0.7335999393078655,0.000730663335100621,0.8933983961307539,0.0007781858578255852,no,-3.1362826851318495,-3.1089166660073713
74,BMI92_gp2-041,0.8571807141123226,0.000514822287572499,0.9972288854803584,0.0005569785365534632,no,-3.2883426599801027,-3.2541615402589366
75,BSCVV_gp3-036,1.0884570603187604,0.00030381175545292306,0.890601800982996,0.0002795359013824948,no,-3.5173954258992866,-3.553562406843657
76,BSCVV_gp3-037,0.7868774987813604,0.0019476127411972635,0.8881454503328245,0.002045196521677997,no,-2.710497392981368,-2.6892649545614487
77,BSCVV_gp3-038,0.9071939081974054,0.0002675722499870459,0.9574129355479701,0.0003005251382602333,no,-3.572558929403538,-3.5221191943731127
