is_selected,tax_id,zscore
False,1705090,0.6487342119216919
False,1705091,0.3971290588378906
False,1705092,1.0016454458236694
False,1725329,1.569092869758606
False,1729670,4.051936626434326
False,1736759,3.6462697982788086
False,1738045,3.2867324352264404
False,1740165,4.341523170471191
False,1761477,1.3100929260253906
False,1778580,3.7090883255004883
False,1809767,3.7137861251831055
False,1817526,3.236372470855713
False,1819678,1.5246071815490723
False,1825931,0.35938429832458496
False,1828512,2.530336618423462
False,1833824,3.7208545207977295
False,1841147,4.512770652770996
False,1853865,3.870185375213623
False,1874267,2.1007518768310547
False,1884832,2.2990317344665527
False,1884991,0.1456136703491211
False,1897538,3.5989274978637695
False,1904880,2.5999536514282227
False,1912598,4.124108791351318
False,1913124,2.8491640090942383
False,1925152,0.038005828857421875
False,1930269,2.314760684967041
False,1931111,0.24788928031921387
False,1931113,4.199628829956055
False,1931356,3.6181578636169434
False,1950126,4.187647819519043
False,1958957,0.2971978187561035
False,1960254,4.297367572784424
False,1967841,3.78580379486084
False,1972995,2.1428213119506836
False,1979541,1.550904393196106
False,1980161,0.8440461158752441
False,1980165,0.8134286403656006
False,1980168,1.3137574195861816
False,1980173,1.921079397201538
False,1980174,1.7926634550094604
False,1985164,3.211214065551758
False,1985202,3.394340991973877
False,1985374,2.4542269706726074
False,1985392,3.429908275604248
False,2010286,1.3081858158111572
False,2010315,1.3758933544158936
False,2010316,0.8305844068527222
False,2010323,3.061762809753418
False,2010327,0.4185800552368164
False,2012856,3.0010595321655273
False,2012857,3.63275146484375
False,2016427,3.3092198371887207
False,2020287,0.4502298831939697
False,2020881,4.81547737121582
False,2021212,4.353489875793457
False,2022321,4.670834541320801
False,2025096,0.24711227416992188
False,2025352,3.003643035888672
False,2025388,4.294250965118408
False,2026195,2.5545101165771484
False,2026196,0.05215954780578613
False,2027645,4.512248992919922
False,2031200,3.064161777496338
False,2034762,4.802214622497559
False,2034763,0.27706313133239746
False,2045345,3.3814475536346436
False,2048879,0.6083476543426514
False,2049883,1.0359013080596924
False,2049892,3.7320356369018555
False,2050584,4.04206657409668
False,2051550,4.457315444946289
False,2052157,4.205063819885254
False,2052606,1.094896674156189
